Variable,RMSE_Mean,RMSE_MICE,Winner
Gestational_age_weeks,2.2455958549222785,2.8999999999999986,Mean/Mode
Weight_12m_kg,0.7181347150259079,0.1999999999999993,MICE
Birth_length_cm,0.560103626943004,1.2000000000000028,Mean/Mode
Length_24m_cm,2.2523316062176235,2,MICE
WHO_zBMI_12m,0.6442617395388268,0.296674081,MICE
zBMI_24m,1.2348040413835064,0.124535002,MICE
Maternal_BMI,8.752331606217616,8.5,MICE
Dietary_pattern_score,1.281661698125461,1.5572411502397439,Mean/Mode
Ultra_processed_score,0.15847289437417106,0.2467117075995111,Mean/Mode
CRP,0.7000178569150932,2.019319192203154,Mean/Mode
ALT,1.9721721249994892,21.415881957089695,Mean/Mode
Household_income_index,8.125,23.769728648009426,Mean/Mode
Shannon_diversity,0.7392337954092564,0.8845620385252807,Mean/Mode
SCFA_index,0.5975647668393782,0.84,Mean/Mode
