Variable,Method,Mean,SD,Median
Weight_12m_kg,Original (observed only),9.877407407407407,1.1004429408724152,9.9
Weight_12m_kg,Mean/Mode imputed,9.877407407407407,1.0437778457386417,9.877407407407407
Weight_12m_kg,MICE imputed,9.852333333333334,1.09728818461204,9.850000000000001
WHO_zBMI_12m,Original (observed only),0.47657401931639487,1.8283291800468664,0.5545033873707145
WHO_zBMI_12m,Mean/Mode imputed,0.47657401931639487,1.7341830475440079,0.47657401931639487
WHO_zBMI_12m,MICE imputed,0.4371982147550869,1.8063540460292549,0.5110309613299078
Fiber_intake_g,Original (observed only),17.884814814814813,5.1277971750962115,17.7
Fiber_intake_g,Mean/Mode imputed,17.884814814814813,4.863751576763631,17.884814814814813
Fiber_intake_g,MICE imputed,18.188666666666666,5.372455909285151,17.9
ALT,Original (observed only),24.071851851851854,10.072725526483579,24.1
ALT,Mean/Mode imputed,24.071851851851854,9.554050791960696,24.071851851851854
ALT,MICE imputed,24.373,10.121187303941745,24.4
Shannon_diversity,Original (observed only),4.456703703703703,0.5170734285084692,4.465
Shannon_diversity,Mean/Mode imputed,4.456703703703703,0.49044777266633144,4.456703703703703
Shannon_diversity,MICE imputed,4.446866666666667,0.5209402827094357,4.455
